order_id,order_date,warehouse_id,warehouse_city,warehouse_state,warehouse_region,product_category,unit_price,quantity,order_value,product_weight_kg,total_weight_kg,shipping_method,expected_delivery_date,actual_delivery_date,carrier,order_status,delivery_delay_days,shipping_cost,customer_satisfaction,inventory_level,reorder_point,stock_status,supplier,supplier_rating,lead_time_days,return_reason,distance_km,route_optimization_score,warehouse_lat,warehouse_lon
ORD-000001,2026-05-08,FC-ATL-07,Atlanta,GA,Southeast,Clothing,143.0,5,715.0,0.81,4.05,Standard (3-5 days),2026-05-13,2026-05-13,Amazon Logistics,Returned,0.0,10.27,,253,41,In Stock,Supplier-A,4.4,13,Wrong Item,2911.9,0.62,33.75,-84.38
ORD-000002,2025-08-11,FC-DFW-04,Dallas,TX,South,Automotive,183.61,4,734.44,7.35,29.4,Two-Day,2025-08-13,,UPS,Pending,,57.6,,438,83,In Stock,Supplier-D,3.3,18,,2248.5,0.61,32.77,-96.79
ORD-000003,2025-06-27,FC-ATL-07,Atlanta,GA,Southeast,Sports & Outdoors,55.24,1,55.24,1.64,1.64,Standard (3-5 days),2025-06-30,2025-07-05,FedEx,Delayed,5.0,7.05,,287,46,In Stock,Supplier-D,4.9,14,,2484.7,0.93,33.75,-84.38
ORD-000004,2025-11-02,FC-DEN-08,Denver,CO,West,Health & Personal Care,261.19,5,1305.95,0.68,3.4,Standard (3-5 days),2025-11-07,2025-11-07,FedEx,Delivered,0.0,6.44,4.0,1,63,Low Stock,Supplier-C,4.6,12,,1665.7,0.75,39.73,-104.99
ORD-000005,2025-10-18,FC-LAX-02,Los Angeles,CA,West,Electronics,854.07,2,1708.14,3.05,6.1,Two-Day,2025-10-20,,Amazon Logistics,In Transit,,10.69,,476,70,In Stock,Supplier-B,3.6,9,,2164.5,0.64,34.05,-118.24
ORD-000006,2025-10-07,FC-ATL-07,Atlanta,GA,Southeast,Electronics,1164.34,5,5821.7,0.2,1.0,Same-Day,2025-10-07,,Amazon Logistics,In Transit,,5.41,,68,83,Low Stock,Supplier-A,3.8,4,,1682.0,0.77,33.75,-84.38
ORD-000007,2025-08-25,FC-DEN-08,Denver,CO,West,Automotive,71.58,2,143.16,8.34,16.68,Standard (3-5 days),2025-08-28,,Amazon Logistics,In Transit,,39.14,,164,84,In Stock,Supplier-D,3.5,10,,857.1,0.99,39.73,-104.99
ORD-000008,2025-08-06,FC-MIA-05,Miami,FL,Southeast,Office Products,63.19,2,126.38,1.9,3.8,One-Day,2025-08-07,2025-08-07,FedEx,Delivered,0.0,11.86,4.0,111,45,In Stock,Supplier-B,4.1,12,,2075.5,0.97,25.76,-80.19
ORD-000009,2026-05-27,FC-CHI-03,Chicago,IL,Midwest,Clothing,82.52,5,412.6,0.68,3.4,Two-Day,2026-05-29,,FedEx,Out for Delivery,,9.66,,298,93,In Stock,Supplier-D,4.2,20,,893.5,0.94,41.87,-87.62
ORD-000010,2026-03-21,FC-NYC-01,New York,NY,Northeast,Automotive,94.46,1,94.46,4.38,4.38,Same-Day,2026-03-21,,Amazon Logistics,In Transit,,8.49,,384,40,In Stock,Supplier-C,4.2,7,,2526.2,0.88,40.71,-74.0
ORD-000011,2025-07-29,FC-MIA-05,Miami,FL,Southeast,Books,15.46,5,77.3,1.61,8.05,Same-Day,2025-07-29,,Amazon Logistics,In Transit,,21.32,,287,48,In Stock,Supplier-E,3.5,19,,2363.7,0.92,25.76,-80.19
ORD-000012,2026-04-13,FC-MIA-05,Miami,FL,Southeast,Electronics,449.14,4,1796.56,1.53,6.12,One-Day,2026-04-14,2026-04-15,DHL,Delivered,1.0,10.91,3.0,440,76,In Stock,Supplier-B,4.8,14,,2277.6,0.82,25.76,-80.19
ORD-000013,2026-01-17,FC-DFW-04,Dallas,TX,South,Books,63.89,3,191.67,1.25,3.75,Two-Day,2026-01-19,2026-01-19,Amazon Logistics,Delivered,0.0,8.99,5.0,284,53,In Stock,Supplier-B,2.9,11,,66.7,0.79,32.77,-96.79
ORD-000014,2025-07-01,FC-CHI-03,Chicago,IL,Midwest,Electronics,624.37,2,1248.74,1.08,2.16,Standard (3-5 days),2025-07-06,,FedEx,In Transit,,8.29,,154,82,In Stock,Supplier-E,3.9,5,,2362.9,0.73,41.87,-87.62
ORD-000015,2025-06-30,FC-DFW-04,Dallas,TX,South,Clothing,14.6,5,73.0,1.23,6.15,One-Day,2025-07-01,2025-06-30,UPS,Delivered,-1.0,11.18,5.0,169,62,In Stock,Supplier-C,3.2,19,,1450.8,0.82,32.77,-96.79
ORD-000016,2025-08-01,FC-NYC-01,New York,NY,Northeast,Home & Kitchen,76.5,3,229.5,9.31,27.93,Two-Day,2025-08-03,,DHL,In Transit,,47.6,,468,34,In Stock,Supplier-D,3.1,12,,122.9,0.81,40.71,-74.0
ORD-000017,2025-10-04,FC-SEA-06,Seattle,WA,West,Automotive,285.18,5,1425.9,0.74,3.7,Two-Day,2025-10-06,2025-10-06,USPS,Delivered,0.0,13.21,5.0,489,88,In Stock,Supplier-E,2.5,5,,671.8,0.85,47.6,-122.33
